Cell ,dq_minimum,dq_mean,dq_variance,dq_skewness,dq_kurtosis,Difference,slope_100_2,intercept_100_2,slope_100_91,intercept_100_91,discharge_capacity_2,discharge_capacity_100,cycle_life
88,-0.024810276,-0.010106439,6.64E-05,-0.435859453,,0.0027885,-5.23E-06,1.074804658,-2.38E-05,1.076184468,1.0724765,1.0738586,1048
89,-0.025445098,-0.011445765,7.69E-05,-0.1629821,,0.0026052,-1.60E-05,1.053974207,-6.30E-05,1.058087015,1.0514506,1.0518515,828
90,-0.053201647,-0.028517561,0.00029835,0.483158631,,0.0004592,-0.000202398,1.064081999,-0.000243287,1.068014835,1.0626124,1.04378,667
91,-0.017059022,-0.007037779,3.25E-05,-0.340782933,,0.0033972,-2.36E-06,1.070297655,-6.75E-05,1.076085287,1.0675218,1.0684743,1836
92,-0.026848971,-0.011806368,8.10E-05,-0.215071989,,0.0039782,-3.31E-06,1.068174847,-3.77E-05,1.070842241,1.0647362,1.067026,828
93,-0.029575275,-0.014478012,0.000104265,-0.055848608,,0.0038881,6.68E-07,1.072825256,-8.25E-06,1.073239733,1.0694826,1.0724456,1039
94,-0.019093026,-0.008335184,3.88E-05,-0.244956487,,0.0032262,-2.88E-06,1.064525264,-0.000113952,1.074603958,1.0617746,1.0623909,1078
95,-0.034087375,-0.015620691,0.000130471,-0.140192583,,0.0026928,-1.77E-05,1.070729462,-3.90E-05,1.072246544,1.0680679,1.0682998,817
96,-0.031734922,-0.015314893,0.000113147,0.009007908,,0.0027777,-6.68E-06,1.076676032,-2.38E-05,1.077940266,1.0741653,1.0755343,932
97,-0.027646084,-0.01176548,8.05E-05,-0.258268736,,0.0040867,-1.22E-05,1.069335077,-4.98E-05,1.072257731,1.065558,1.067306,816
98,-0.02928236,-0.013203557,0.000100177,-0.192042863,,0.0050386,4.64E-06,1.076779365,-1.70E-05,1.078110351,1.0727056,1.0763919,858
99,-0.029484345,-0.013340331,9.99E-05,-0.153823788,,0.0028587,-1.16E-05,1.071136518,-7.97E-05,1.077064293,1.0684187,1.0693594,876
100,-0.013451996,-0.005323302,2.02E-05,-0.053271978,,0.0033309,-9.69E-06,1.064003112,-8.32E-05,1.070542173,1.061009,1.0625579,1638
101,-0.017882392,-0.007236217,3.64E-05,0.016698005,,0.0025996,-5.83E-06,1.067345296,-2.00E-05,1.068533195,1.0664514,1.0664585,1315
102,-0.02345577,-0.010342257,5.58E-05,-0.2289617,,0.0021301,-2.93E-05,1.070361931,-7.01E-05,1.074033416,1.0680237,1.0670015,1146
103,-0.025293658,-0.01154548,6.74E-05,-0.120878129,,0.0019749,-2.97E-05,1.074235086,-7.90E-05,1.078710202,1.0719248,1.0708553,1155
104,-0.028071994,-0.011919383,8.59E-05,-0.339530047,,0.0030607,-7.15E-06,1.067814756,-4.07E-05,1.070552776,1.0650502,1.0664401,813
105,-0.043276149,-0.023538704,0.000197746,0.506139744,,0.0008404,-0.000159492,1.070112267,-0.000192495,1.073130889,1.0678563,1.0538316,772
106,-0.02840933,-0.013722551,8.99E-05,0.052922112,,0.0028446,-1.60E-05,1.05897035,-5.29E-05,1.062242032,1.0562643,1.0569046,1002
107,-0.024772399,-0.010345483,7.00E-05,-0.335748806,,0.0048557,9.65E-06,1.049949028,-5.47E-05,1.055517054,1.0462732,1.050084,825
108,-0.026576249,-0.010925822,7.14E-05,-0.36635098,,0.0043403,6.95E-06,1.064468012,-5.59E-05,1.06989657,1.0611302,1.0643663,989
109,-0.024179139,-0.010139593,6.04E-05,-0.342155479,,0.0037909,-4.29E-07,1.075134168,-4.37E-05,1.078754517,1.0720186,1.074435,1028
110,-0.026600291,-0.010709911,7.42E-05,-0.361154542,,0.0040355,-4.04E-06,1.063914867,-4.65E-05,1.067372125,1.0604171,1.0627574,850
111,-0.057831121,-0.030256119,0.000353815,0.299642387,,0.0008317,-0.000198022,1.054621147,-0.000267253,1.060669153,1.0518668,1.0340093,541
112,-0.028921475,-0.011300575,8.65E-05,-0.348448862,,0.004832,4.08E-06,1.070292311,-5.96E-05,1.075542098,1.0663688,1.0696349,858
113,-0.02673717,-0.011137571,7.95E-05,-0.387311906,,0.0036005,-3.42E-06,1.071880175,-3.10E-05,1.074063598,1.0687393,1.0710108,935
114,-0.03561941,-0.016350549,0.000144821,-0.120852816,,0.0034605,-9.00E-06,1.071258666,-3.54E-05,1.073281415,1.0681812,1.0698149,731
115,-0.019885926,-0.007848678,4.02E-05,-0.420035169,,0.0026444,-1.26E-05,1.062801338,-5.69E-05,1.066627388,1.060272,1.0609198,1284
116,-0.021509893,-0.009552006,4.95E-05,-0.184080259,,0.0027431,-2.12E-05,1.06432507,-7.77E-05,1.069308148,1.061535,1.0615493,1158
117,-0.023028075,-0.009826426,5.83E-05,-0.296336168,,0.0020494,-1.95E-05,1.065495417,-4.98E-05,1.068198545,1.0633804,1.0632331,1093
118,-0.022981814,-0.009908357,5.58E-05,-0.25112113,,0.0030761,-2.20E-05,1.060483815,-5.94E-05,1.063666739,1.0575287,1.0577667,923
119,-0.020147006,-0.008693083,4.55E-05,-0.054164716,,0.0025093,-8.79E-06,1.072430919,-6.19E-05,1.077245644,1.0701473,1.0710695,1935
120,-0.017457918,-0.006428439,3.51E-05,-0.292538603,,0.004107,-6.58E-06,1.050918796,-2.41E-05,1.052010814,1.0474036,1.0495038,1156
121,-0.022053794,-0.009078861,5.07E-05,-0.315430893,,0.00451,-7.69E-06,1.063391687,-4.83E-05,1.066635646,1.0593235,1.0617574,796
122,-0.024192994,-0.009748051,6.04E-05,-0.357133557,,0.0043619,9.73E-06,1.053877799,-5.06E-05,1.059149495,1.0505219,1.0541531,786
123,-0.025985132,-0.011231061,7.40E-05,-0.244616366,,0.0041849,4.69E-06,1.073078213,-1.79E-05,1.074668847,1.06972,1.0729284,940
124,-0.016477961,-0.007131752,3.02E-05,-0.328143046,,0.0025962,-1.26E-07,1.071472276,-7.19E-06,1.071735902,1.0695485,1.0711251,1801
